City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
8,Souillac,MU,84.58,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
9,Sehithwa,BW,78.12,overcast clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
11,Yarada,IN,84.52,broken clouds,17.65,83.2667,Vishranti
13,La Romana,DO,76.73,clear sky,18.4273,-68.9728,Casa de Campo Resort and Villas
21,Rikitea,PF,75.63,overcast clouds,-23.1203,-134.9692,People ThankYou
23,Mahebourg,MU,84.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
25,Tezu,IN,81.39,clear sky,27.9167,96.1667,Circuit House
27,Busselton,AU,85.08,broken clouds,-33.65,115.3333,Observatory Guest House
28,Kupang,ID,79.38,thunderstorm,-10.1667,123.5833,Hotel On The Rock by Prasanthi
32,Lubao,PH,83.14,broken clouds,14.9167,120.55,Hacienda Gracia
36,Atuona,PF,78.62,clear sky,-9.8,-139.0333,Villa Enata
38,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
43,Barabai,ID,79.93,light rain,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
51,Moroni,KM,84.42,clear sky,-11.7022,43.2551,Hotel les Arcades
52,Banda Aceh,ID,84.34,light rain,5.5577,95.3222,Sulthan Hotel International
55,Cabo San Lucas,MX,75.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
69,Morwa,IN,83.25,scattered clouds,22.9,73.8333,mahakali maa hotel
73,Nizwa,OM,76.37,clear sky,22.9333,57.5333,Orient Apartments
74,Tura,IN,76.42,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
79,Bida,NG,80.92,overcast clouds,9.0833,6.0167,Royal Suite
80,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
83,Butaritari,KI,82.98,light rain,3.0707,172.7902,Isles Sunset Lodge
87,Booue,GA,83.28,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
106,Georgetown,MY,88.9,few clouds,5.4112,100.3354,Cititel Penang
110,Saint-Philippe,RE,85.59,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
113,Puerto Narino,CO,75.15,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
122,Mumford,GH,82.44,overcast clouds,5.2618,-0.759,Spanish Villa
132,Alice Springs,AU,81.95,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
133,Bandarbeyla,SO,81.16,light rain,9.4942,50.8122,JABIR HOTEL
134,Pemangkat,ID,81.09,light rain,1.1667,108.9667,Ramah Kost KITA
136,Banyo,CM,81.48,scattered clouds,6.75,11.8167,Motel JOMBA
140,Bambous Virieux,MU,85.21,few clouds,-20.3428,57.7575,Casa Tia Villa
144,Faanui,PF,81.41,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
150,Salalah,OM,86.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
151,Hithadhoo,MV,80.47,overcast clouds,-0.6,73.0833,Scoop Guest House
152,Iralaya,HN,76.62,clear sky,15.0,-83.2333,Iglesia morava renovada
160,Sinnamary,GF,76.51,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
161,Bathsheba,BB,79.23,scattered clouds,13.2167,-59.5167,Atlantis Hotel
162,Labuhan,ID,84.9,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
