City_id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ginda,IN,2021-12-05 08:07:34,30.6945,78.4932,63.01,37,30,7.14,scattered clouds
1,Sao Joao Do Piaui,BR,2021-12-05 08:07:35,-8.3581,-42.2467,72.18,89,71,5.39,broken clouds
2,Trofors,NO,2021-12-05 08:07:37,65.5333,13.4063,20.55,92,7,5.37,clear sky
3,Kruisfontein,ZA,2021-12-05 08:02:01,-34.0033,24.7314,64.29,96,100,6.2,light rain
4,Albany,US,2021-12-05 08:07:42,42.6001,-73.9662,35.55,78,88,5.91,overcast clouds
5,Vaini,TO,2021-12-05 08:07:44,-21.2,-175.2,78.96,83,40,8.05,scattered clouds
6,Solnechnyy,RU,2021-12-05 07:58:09,50.7214,136.6319,7.23,93,99,4.94,overcast clouds
7,Ushuaia,AR,2021-12-05 08:07:47,-54.8,-68.3,44.26,76,40,14.97,light rain
8,Souillac,MU,2021-12-05 07:59:13,-20.5167,57.5167,84.58,61,20,11.5,few clouds
9,Sehithwa,BW,2021-12-05 08:07:49,-20.4667,22.7167,78.12,57,100,5.48,overcast clouds
10,Victoria,HK,2021-12-05 07:56:23,22.2855,114.1577,74.17,44,93,1.01,overcast clouds
11,Yarada,IN,2021-12-05 08:07:52,17.65,83.2667,84.52,65,75,4.61,broken clouds
12,Khatanga,RU,2021-12-05 08:07:55,71.9667,102.5,-23.94,96,100,11.88,overcast clouds
13,La Romana,DO,2021-12-05 08:07:56,18.4273,-68.9728,76.73,92,8,9.64,clear sky
14,Ludvika,SE,2021-12-05 08:07:59,60.1496,15.1878,20.03,92,87,5.91,overcast clouds
15,Iqaluit,CA,2021-12-05 07:59:24,63.7506,-68.5145,6.53,71,90,27.0,light snow
16,Jackson,US,2021-12-05 08:08:01,42.4165,-122.8345,41.04,93,90,3.44,fog
17,Bengbu,CN,2021-12-05 08:08:03,32.9408,117.3608,58.87,25,1,3.29,clear sky
18,Vostok,RU,2021-12-05 08:08:04,46.4856,135.8833,8.56,93,8,5.75,clear sky
19,Grindavik,IS,2021-12-05 08:08:05,63.8424,-22.4338,39.67,81,90,37.98,overcast clouds
20,Bodo,NO,2021-12-05 08:08:07,67.28,14.405,19.78,53,0,16.11,clear sky
21,Rikitea,PF,2021-12-05 08:08:08,-23.1203,-134.9692,75.63,78,97,9.15,overcast clouds
22,Mnogovershinnyy,RU,2021-12-05 08:08:10,53.9353,139.9242,-0.42,91,98,6.78,overcast clouds
23,Mahebourg,MU,2021-12-05 08:08:11,-20.4081,57.7,84.25,67,16,13.18,few clouds
24,Cape Town,ZA,2021-12-05 08:07:46,-33.9258,18.4232,70.12,80,92,3.0,overcast clouds
25,Tezu,IN,2021-12-05 08:08:14,27.9167,96.1667,81.39,34,6,2.77,clear sky
26,Muroto,JP,2021-12-05 08:08:15,33.2833,134.15,53.29,65,21,10.25,few clouds
27,Busselton,AU,2021-12-05 08:04:06,-33.65,115.3333,85.08,40,72,21.09,broken clouds
28,Kupang,ID,2021-12-05 07:59:44,-10.1667,123.5833,79.38,83,75,3.44,thunderstorm
29,Imbituba,BR,2021-12-05 08:00:46,-28.24,-48.6703,71.82,92,93,9.89,overcast clouds
30,Mataura,NZ,2021-12-05 08:08:21,-46.1927,168.8643,50.49,98,100,2.15,light rain
31,Puerto Ayora,EC,2021-12-05 08:08:23,-0.7393,-90.3518,67.59,94,34,5.93,scattered clouds
32,Lubao,PH,2021-12-05 08:08:24,14.9167,120.55,83.14,60,69,14.9,broken clouds
33,Sitka,US,2021-12-05 08:02:37,57.0531,-135.33,30.9,92,98,4.88,light snow
34,Karratha,AU,2021-12-05 08:08:27,-20.7377,116.8463,99.82,29,6,28.12,clear sky
35,Mayo,US,2021-12-05 08:08:29,38.8876,-76.5119,44.17,70,1,0.0,clear sky
36,Atuona,PF,2021-12-05 08:08:31,-9.8,-139.0333,78.62,72,6,17.02,clear sky
37,Katsuura,JP,2021-12-05 08:00:30,35.1333,140.3,53.11,69,98,13.98,overcast clouds
38,Avarua,CK,2021-12-05 08:08:33,-21.2078,-159.775,78.85,89,20,4.61,few clouds
39,Mar Del Plata,AR,2021-12-05 08:08:35,-38.0023,-57.5575,59.88,88,100,7.0,overcast clouds
40,Dikson,RU,2021-12-05 08:08:36,73.5069,80.5464,1.69,95,100,23.26,snow
41,Palmer,US,2021-12-05 07:55:17,42.1584,-72.3287,35.37,82,20,3.44,few clouds
42,Nikolskoye,RU,2021-12-05 08:08:40,59.7035,30.7861,6.03,91,83,6.76,broken clouds
43,Barabai,ID,2021-12-05 08:08:41,-2.5833,115.3833,79.93,79,100,1.74,light rain
44,Peniche,PT,2021-12-05 08:02:08,39.3558,-9.3811,54.93,69,100,17.87,overcast clouds
45,Ancud,CL,2021-12-05 08:05:40,-41.8697,-73.8203,53.42,86,0,2.71,clear sky
46,Waipawa,NZ,2021-12-05 08:08:47,-41.4122,175.5153,65.03,72,99,11.3,light rain
47,Moron,AR,2021-12-05 08:08:49,-34.6534,-58.6198,68.0,88,67,1.01,broken clouds
48,Morro Bay,US,2021-12-05 08:08:50,35.3658,-120.8499,52.92,88,0,1.01,clear sky
49,Port Alfred,ZA,2021-12-05 08:08:51,-33.5906,26.891,71.1,91,100,24.09,overcast clouds
50,Port Macquarie,AU,2021-12-05 08:08:53,-31.4333,152.9167,67.96,77,100,10.42,overcast clouds
51,Moroni,KM,2021-12-05 08:08:54,-11.7022,43.2551,84.42,68,7,5.84,clear sky
52,Banda Aceh,ID,2021-12-05 08:08:56,5.5577,95.3222,84.34,69,73,14.88,light rain
53,Yumen,CN,2021-12-05 08:08:57,40.2833,97.2,44.76,27,93,17.76,overcast clouds
54,Nyuzen,JP,2021-12-05 08:08:58,36.9333,137.5,45.01,70,48,6.69,scattered clouds
55,Cabo San Lucas,MX,2021-12-05 08:08:41,22.8909,-109.9124,75.51,74,100,10.0,overcast clouds
56,Esperance,AU,2021-12-05 08:01:48,-33.8667,121.9,69.08,64,18,18.41,few clouds
57,Viedma,AR,2021-12-05 08:09:02,-40.8135,-62.9967,53.78,74,0,10.38,clear sky
58,Bluff,NZ,2021-12-05 08:09:04,-46.6,168.3333,50.81,66,100,14.45,overcast clouds
59,Luderitz,NA,2021-12-05 08:01:22,-26.6481,15.1594,67.33,62,0,8.05,clear sky
60,Birjand,IR,2021-12-05 08:09:06,32.8663,59.2211,50.38,29,0,4.83,clear sky
61,Bulaevo,KZ,2021-12-05 08:09:07,54.9056,70.4439,32.7,88,99,15.68,overcast clouds
62,Ribeira Grande,PT,2021-12-05 08:08:11,38.5167,-28.7,64.8,63,75,10.36,broken clouds
63,Port Elizabeth,ZA,2021-12-05 08:09:10,-33.918,25.5701,68.61,93,100,14.63,light rain
64,Rundu,NA,2021-12-05 08:09:11,-17.9333,19.7667,76.5,55,100,3.94,overcast clouds
65,Burley,US,2021-12-05 08:09:13,42.5357,-113.7928,48.11,45,1,6.91,clear sky
66,Lerwick,GB,2021-12-05 08:09:14,60.1545,-1.1494,37.4,72,96,26.04,overcast clouds
67,Oxford,GB,2021-12-05 08:09:17,51.7522,-1.256,41.92,83,75,4.0,broken clouds
68,Fortuna,US,2021-12-05 08:09:18,40.5982,-124.1573,49.42,94,90,0.0,overcast clouds
69,Morwa,IN,2021-12-05 08:09:20,22.9,73.8333,83.25,37,26,2.95,scattered clouds
70,Erdenet,MN,2021-12-05 08:09:21,49.0333,104.0833,22.77,40,0,4.34,clear sky
71,Elban,RU,2021-12-05 08:09:23,50.1018,136.5094,8.65,90,97,11.95,overcast clouds
72,Flinders,AU,2021-12-05 08:09:24,-34.5833,150.8552,66.18,65,57,7.52,broken clouds
73,Nizwa,OM,2021-12-05 08:09:25,22.9333,57.5333,76.37,39,2,6.51,clear sky
74,Tura,IN,2021-12-05 08:09:27,25.5198,90.2201,76.42,54,100,4.12,overcast clouds
75,Cherskiy,RU,2021-12-05 08:09:28,68.75,161.3,-40.76,100,96,4.65,overcast clouds
76,Buzovna,AZ,2021-12-05 08:09:30,40.5179,50.1139,55.49,54,0,25.32,clear sky
77,Hermanus,ZA,2021-12-05 08:00:41,-34.4187,19.2345,69.91,92,100,13.85,light rain
78,Chokurdakh,RU,2021-12-05 08:09:32,70.6333,147.9167,-41.84,100,59,3.76,broken clouds
79,Bida,NG,2021-12-05 08:09:34,9.0833,6.0167,80.92,27,94,2.93,overcast clouds
80,Carnarvon,AU,2021-12-05 08:09:35,-24.8667,113.6333,82.47,65,2,14.97,clear sky
81,Yellowknife,CA,2021-12-05 08:09:36,62.456,-114.3525,-11.16,96,100,11.18,overcast clouds
82,Kuytun,RU,2021-12-05 08:09:38,54.3419,101.5036,21.02,84,100,3.71,overcast clouds
83,Butaritari,KI,2021-12-05 08:09:39,3.0707,172.7902,82.98,80,100,17.22,light rain
84,Arraial Do Cabo,BR,2021-12-05 08:09:40,-22.9661,-42.0278,71.96,83,10,11.86,clear sky
85,Saint George,US,2021-12-05 07:57:06,37.1041,-113.5841,50.54,40,0,2.48,clear sky
86,Awjilah,LY,2021-12-05 08:09:43,29.1081,21.2869,61.93,57,0,9.71,clear sky
87,Booue,GA,2021-12-05 08:09:44,-0.0921,11.9385,83.28,73,100,1.92,overcast clouds
88,Erenhot,CN,2021-12-05 08:09:46,43.6475,111.9767,29.08,37,0,13.0,clear sky
89,Vredendal,ZA,2021-12-05 08:05:57,-31.6683,18.5012,65.44,65,88,5.44,light rain
90,Sibut,CF,2021-12-05 08:09:48,5.718,19.0739,88.48,34,25,3.06,scattered clouds
91,Torbay,CA,2021-12-05 08:09:29,47.6666,-52.7314,29.75,68,20,16.93,few clouds
92,Svetlogorsk,BY,2021-12-05 08:09:51,52.6333,29.7333,27.3,87,100,7.09,overcast clouds
